id	lila_id	Headword 	Definition 	Part of Speech 	Semantic Group 	Frequency Rank
DCC230	lilaLemma:109132	iter itineris n. 	journey, route 	Noun: 3rd Declension	Travel 	230
DCC231	lilaLemma:103152	ferrum -ī n. 	iron, iron weapon or implement 	Noun: 2nd Declension	Violence 	231
DCC232	lilaLemma:125336	spēs speī f. 	hope 	Noun: 5th Declension	Emotions 	232
DCC233	lilaLemma:118823	puella -ae f. 	"girl; girl-friend "	Noun: 1st Declension	People 	233
DCC234	lilaLemma:124801	silva -ae f. 	forest, grove 	Noun: 1st Declension	Animals/Plants 	234
DCC235	lilaLemma:91473	bene 	well 	Adverb 	Personality Traits/Characteristics 	235
DCC236	lilaLemma:103321	fīnis -is m. 	end, boundary 	Noun: 3rd Declension	Geography 	236
DCC237	lilaLemma:104536	gerō gerere gessī gestum 	"bear, manage; bellum gerere, wage war "	Verb: 3rd Conjugation -ō	War and Peace 	237
DCC238	lilaLemma:113492	ne (enclitic) 	interrogative particle attached to the emphatic word in a question 	Adverb 	Pronouns/Interrogatives 	238
DCC239	lilaLemma:100327	dux ducis m./f. 	leader, general 	Noun: 3rd Declension	War and Peace 	239
DCC240	lilaLemma:119437	premō premere pressī pressum 	press, pursue, overwhelm 	Verb: 3rd Conjugation -ō	War and Peace 	240
DCC241	lilaLemma:98084	"dominus -ī m.; domina -ae f. "	"household master, lord; mistress "	Noun: 2nd Declension	The Household 	241
DCC242	lilaLemma:112727	mōns montis m. 	mountain 	Noun: 3rd Declension	Geography 	242
DCC243	lilaLemma:135768	uterque utraque utrumque 	each of two 	Conjunction 	Measurement 	243
DCC244	lilaLemma:123131	saevus -a -um 	fierce, raging, wrathful 	Adjective: 1st and 2nd Declension	Personality Traits/Characteristics 	244
DCC245	lilaLemma:110686	lītus -oris n. 	shore 	Noun: 3rd Declension	Geography 	245
